id,category,qusasa
146,10,لأن ما حدث حدث في وقت لم يتوقع فيه أحد أن يحدث، فإن أحدًا لم يفعل شيئًا وبالتالي لا يوجد ما يستحق التعليق عليه.
147,10,أحيانًا أرى حياة البشر مجموعة من الصراصير تتصارع في حمام.. يتسلق أحدها الجدار أو السيفون فيهتف الجميع: لقد نجح! لقد بلغ أرقى المراتب! ثم يتلقى ضربة بشبشب فيبكونه ويتحدثون عن الأقدار والفقيد الذي خسرناه!
148,10,كانوا يشتمونه في غيبته.. فرحت أدافع عنه دفاعًا متخاذلاً لا يعني أنه محق بل يعني أنني شهم! لم أتصور أنني بهذا اللؤم من قبل.
149,10,كل ما يقال الآن قيل من قبل.. لكنهم ينسون.. كلهم ينسون.
150,10,يا للشباب! أتمنى أن أكون منهم.. لكن ماذا فعلت بحياتي حين كنت مثلهم؟
151,10,إنها أختي.. فقط هي مصابة بعيب خلقي بسيط يجعلها مكسوة بالفراء وتمشي على أربع ولا تأكل إلا السمك وتموء!
152,10,أنا مؤمن بالمثل القائل كل لتعيش ولا تعش لتأكل.. لكن ما ذنبي إذا كنت أحتاج إلى طبقين من الأرز وخمسة أرغفة لأظل حيًا؟
153,10,كنت أعرف منذ البداية حينما بدأ ينصحني أنني لن أقتنع!
154,11,الممثلون في التلفزيون لا يقلدون الصعايدة عندما يتكلمون، لكنهم يقلدون الصعايدة الذين رأوهم في التمثيليات السابقة! هكذا يدخلون في قالب (ماخابرش – دلوكيت) وينظر أحدهم للكاميرا في ذكاء ويبرم شاربه ويضيق عينه مرددًا (مليح جوي جوي يا بوي)، بينما يكفيك أن تمشي خطوات إلى ميدان رمسيس لتعرف كيف يتكلم الصعيدي الحقيقي بلهجته الموسيقية المحببة للنفس.
155,11,كما قال عمر بن الخطاب رضي الله عنه: لن تعرف الرجل أبدًا إلا إذا عاملته بالدرهم والدينار.. حقيقة تثبت دقتها كل يوم.
156,11,أروع صورة للحب هي صورة الحب الذي لم يكتمل مثل ذراعي تمثال أفروديت المبتورتين.. لم يستطع أحد أن يصل لوضع مناسب لهما.. واكتشف النحاتون أنه مهما جربت يظل عدم وجودهما أفضل حل ممكن.. هكذا الحب الذي لم يكتمل يبقى في أروع صورة ممكنة له.
157,11,أفلام الرعب اليابانية كلها تقريبًا تدور حول أختين وشبح طفل وجو مرعب لكن لا يحدث شيء على الإطلاق.. الأفلام الصينية تقنعك أن الشعب الصيني كله كان يطير في زمن ما.
158,11,سهرة عائلية هادئة.. قد تمر على خير.. ترى في أية ليلة ستلعب لعبتك أيها القدر؟ فقط أرجوك أن تبدأ بي أنا.
159,11,هذا مثل منطق الذي يبغي الزواج بمسلمة من البوسنة أو الشيشان (ليعصم أختًا مسلمة).. وماذا عن أخواتك المسلمات في الصومال؟ يفضل الصمت ولا يعلق.
160,11,النظارة السوداء حل عبقري يخفي ثلث الوجه، ويزيح عنك مهمة شاقة هي أن تكون عيناك صادقتين!
161,11,الناس تصر على أنها شفيت بالأعشاب لأنها تخشى أن تكون حالتها ميئوسًا منها.
162,11,مهما قال الناس فإنهم يعتبرون الأفضل والأعظم فعلاً هو الأكثر ثراء.. لاحظ احترامهم الحقيقي غير المتكلف لصاحب سيارة مرسيدس فاخرة، فلو فقدها لانتهى أمره.
163,11,فلاح ثري أبيض البشرة بجلباب أبيض ناصع وعيناه ملونتان، وعلى وجهه نظرة صفيقة تقول: (لن يخدعوني أبدًا).. من المستحيل التعامل مع هذا النمط أبدًا!
164,11,شاب في الخامسة عشرة من عمره يقضي وقته في وعظ الآخرين ويرسل لهم أدعية ألفها بنفسه على بريدهم الإلكتروني.. ما هي خبرات الحياة التي تسمح له بهذا؟
165,11,هم يوصلونك للحظة تسكت فيها من الاشمئزاز فيحسبون أنهم انتصروا وأفحموك.. نفس براعة وقوة منطق العربجي الذي يشتمك بفاحش القول وهو على ظهر عربته فتصمت.
166,11,ما أستطيع قوله عن فاتورة هذا المطعم، هو أنهم يتكلفون الكثير من المال ثمن الأقلام التي كتبوا بها الحساب عليها!
167,11,نقابة السينمائيين.. توقعت أن أرى بارًا وأن أقابل ستيفان روستي يرمقني من وراء ستار، لكني وجدت ذات الملفات القديمة المغبرة والسبرتاية والموظف الذي يضع شبشبًا جواره من أجل الوضوء ساعة صلاة الظهر.. لا تختلف في شيء عن نقابة التطبيقيين أو الزراعيين!
168,11,هو من هؤلاء الذين يغلقون مروحة السقف في أي مكان يدخلونه كي لا يصابوا بصداع.. فإذا كانت مروحة رأسية فإنه يلويها بعنف بعيدًا عنه حتى ليكسر تروسها.
169,11,القاعدة في المجتمع الغربي اليوم هي أن كل من يهاجم الشواذ وحش غير متحضر.. لهذا ترى حلوفًا كبير الكرش عاري الصدر مشعرًا يقف في ميدان عام يحتضن حلوفًا آخر في حنان.. هذان عاشقان فلماذا تضايقهما أيها الشرقي المتوحش؟
170,11,طبقًا للإعلام الأمريكي الذي يحشون به عقولنا، فإن أفضل إنسان على الإطلاق هو اليهودي الزنجي الشاذ جنسيًا!
171,11,عندما تسمع أغاني أجنبية أو موسيقا كلاسيكية يقولون لك لائمين إن النبي عربي، فإذا جرؤت على تصحيح إعراب كلمة أو همزة قالوا لك في سخرية: ما تخليكش حنبلي كده!
172,11,كل إنسان يعتقد أنك عاطل بلا مشاغل سوى ما طلبه هو منك، وبرغم هذا لا تنجزه!
173,11,يستعمل المصحف كمانع للحوادث في تابلوه السيارة.
174,11,جريمة لابد من حرق مرتكبها في ميدان عام هي التحرش الجنسي بالأطفال.. مجرد شهوة عابرة قذرة مدتها ثلاث دقائق تجعله يدمر حياة إنسان للأبد!
175,11,تعلمت الحذر من شخصية المصري الذي يزعم أنه نجح نجاحًا ساحقًا في الخارج وحصل على أكثر من شهادة دكتوراة، ويلقي محاضرات عن طب الأعصاب في هارفارد وعن العلوم السياسية في أكسفورد.. لا أحد يجرؤ على تكذيبه، لكنه في 90% من الحالات يطبق قاعدة (اللي يعرف خالي يقول له).
176,11,بغبائك وضيق أفقك، أعرف يقينًا أنك لو عشت أيام الرسول (صلى الله عليه و سلم) لكنت تقولين في ثقة: إننا نعبد اللات والعزى.. هذا دين آبائنا.. كيف يشك أي شخص في الأصنام؟
177,11,في 24 فبراير القادم، هل أزور قبرك يا أبي أم أزورك أنت شخصيًا؟
178,11,ربما لو ثابرت وأرهقت نفسي لصرت جراح مخ وأعصاب أو عالمًا نوويًا، لكني لن أصير موسيقيًا أبدًا مهما حاولت.. لهذا أعتبر الموسيقيين نوعًا آخر من الكائنات.
179,11,مكتب فاخر كهذا لابد أن يغير روحك وشخصيتك.. لابد أن تصير آخر.
180,11,محمد علي.. اللص الذي أراد أن يسمن البقرة ويعنى بها لتعطيه لبنًا أوفر، بينما اللصوص المعاصرون يجيعونها ويقطعون لحمها قطعة قطعة.
181,11,كل الناس ظرفاء إلى أن تأتي لحظة إعادة ما اقترضوه من مال لك!
182,11,لا حل سوى أن تموت أنت أو هم.. فكر بهذا المنطق كي تكف عن القلق على صحتك!
183,11,هو من الأشخاص الذين لا يكفون عن استعجالك، فإذا أنهيت دورك وصار دورهم نسوا الأمر برمته.. لا يكفون عن تقمص دور رجل الأعمال المهم الذي يؤمن أن الوقت من ذهب.. فإذا أعطوك ميعادًا أخلفوه.
184,11,بدأ حفل الزفاف بأغنية أسماء الله الحسنى، ثم بدأت أغنية روك أمريكية اسمها (الرقص مع الشيطان).. ابتسمت.. في الحالتين هم يقولون كلامًا لا يفهمونه ولا يعنونه.
185,11,لم ألق قط مصريا فشل في الخارج! كلهم يصير رئيسًا لجامعة هارفارد، أو يتوسل له مدير مايو كلنيك كي يبقى معهم! ترى كم في المائة من تلك القصص حقيقي؟
186,11,قالت لنفسها: غريب أمر هؤلاء الرجال.. عرضت جسدي في ثوب شفاف، فإذا بهذا الخسيس لم يهتم بعقلي وروحي بل حاول الوصول لهذا الجسد.
187,11,فلتشاهد هذا الفيلم إذا كنت مولعًا بصيادي الرنة الكنديين الذين يعقدون صفقة مع الشيطان يتحولون نتيجة لها إلى كلاب هسكي.
188,11,كلما شعرت بالفشل تذكرت وزراء الخارجية العرب.. عندها أشعر بأنني رائع وناجح جدًا!
189,11,لم يعد أحد يطالبه بشيء في هذه السن المتقدمة، لكنه مصر على تحمل المسئوليات كلها وإرهاق نفسه بلا داع.. هذه ليست بسالة، بل هو سلوك طفل لا يصدق أن الحياة يمكن أن تتحرك من دونه.
190,11,هذا النوع من المديح المبالغ فيه الذي لا أستحقه، لا يسعدني بل هو يجلب على رأسي شتائم لم أطلبها ولا أستحقها.
191,11,أحيانا أشعر أن المثقفين يحبون استفزاز العامة، لذا يبدون إعجابا جنونيًا بهذا الفيلم الذي لا يستحق.. فقط ليغيظوا من لم يفهمه ويشعروه بالحقارة.
192,11,هؤلاء الذين يناولون السماعة لطفل (عاوز يكلمك) وأنت مستعجل، فيضعك لمدة ربع ساعة تحت رحمة وغد صغير لا يقول سوى (القطة.. العاوو.. تيتة.. هي هي).. هل تضع السماعة؟ لا تجد ما تقول سوى أن تصدر أصواتا مضحكة من حلقك وأنت تغلي.
193,11,أمه وأخواته لا يعرفن عنه الكثير.. هناك جزء من ذاته لا تعرفه سوى الزوجة التي تردد: (أنتن لا تعرفنه) فتضحك الأم ساخرة غير مصدقة.. برغم أن كلام الزوجة صحيح تمامًا.
194,11,رأيت هذا السيناريو ألف مرة.. شركة في شقة مفروشة بشارع الهرم.. أربعة أجهزة كمبيوتر.. خمسة من خريجي كليات الفنون الجميلة.. ثلاث دقائق رسوم متحركة تظهر أشياء تتحرك، ولا يستطيعون تسويقها أبدًا.. ثم بعد عام لا تسمع عنهم ثانية.
195,12,خفّض صوتك إلى مستوى أفكارك!
196,12,هذا كتاب ممتع بحق.. كنت أسمع عقلي وهو يمضغ الأفكار ويبلعها.
197,12,سنه ومكانته تسمحان له بقول وكتابة أي كلام فارغ في أي وقت، ولا أحد يجسر على الاعتراض.
198,12,هذا الانشغال الشديد له نتيجة عجيبة هي أنني لا أفعل شيئا على الإطلاق. قائمة أعمالي لا تتحرك بل تستطيل وتستطيل.
199,12,يا عم لا تتعب نفسك ولا تضيع كتبي أرجوك.. أنت لن تقرأ كتابًا واحدًا طيلة حياتك.. ستفتح أول 3 صفحات وتضع النظارة ثم تشرد وتفكر في شيء آخر ويضيع كتابي.. لا تتعب نفسك.
200,12,هو فعلاً لا يقرأ بتاتًا.. إنه يبحث فقط في الكتب عن آراء تشبه آراءه ليشعر أنه عبقري.
201,12,مشكلة الرد على خطابك هي أنك سترد! هكذا سيكون علي أن أرد!
202,12,أنا خجول، لهذا قد أبتلع بعض آرائي وأفضل الصمت.. لكن لا توجد قوة على الأرض تجعلني أقول ما لست مقتنعًا به.. أي إنني قد لا أقول كل الحقيقة.. لكن لا أقول شيئًا سوى الحقيقة.
203,12,الطريقة الخبيثة المعهودة: تعالوا نناقش أسباب التدهور الواضح في أعمال أحمد خالد الأخيرة.. كأن هذه القضية أثيرت من قبل مرارًا وأنها حقيقة بديهية.. لقد وضع الطوبة الأولى وصعد فوقها فلم يسمح لأحد أن يقول إنه ليس هناك تدهور مثلاً.
204,12,في صفحة واحدة من تعليقات النت قرأت هذه الأخطاء: {الطراب (التراب) - الفوضا - اذا بوليتم فاستترو - لاكن - موقارانات - انتا - هشام انديل - يالا العار (ياللعار) - الرااءيس - ميثال التضحية - تشبس بالقيم - خوزاعبالات - الاخوان ليهم يد فى مزبحة رفاح وربنا يستورها لان كده واضحت الروئيه}.. اللغة العربية كائن مهدد بالانقراض أو انقرض، ويجب أن تحميه منظمة اليونسكو وتضعه في محمية.
205,12,كتب ينصحني أن أتقي الله وأكف عن الكتابة.. لماذا لا يتقي هو الله ويكف عن القراءة؟
206,12,مقالي هذا سخيف وبلا فكرة.. أعرف ذلك ولهذا كرهت جدًا من قالوا عنه ذلك!
207,12,رواية فاشلة ولا تستحق هذه الضوضاء، لكنها تتجاسر على الدين كثيرًا.. أشعر أنهم يقدمونها لمجرد التحدي والاستفزاز وطلبًا للمشاكل في كل مرة.. أليس المتدينون يكرهونها؟ إذن فلنعتبرها نحن تحفة فنية!
208,12,سرق كتابي من على النت ثم راح يكويه بلسانه.. كأنه سرق طبقًا به طعام فأكله ثم راح ينتقد الطباخ بعنف.. هل هناك من دعاك؟ هل هناك من طلب رأيك؟
209,12,كان الزحام شديدًا لدرجة أني أوشكت على الاختناق.. هنا أتي من يسألني: هل قام الشباب بالثورة لأنهم يستحقونها أم قاموا بها لأنهم مؤمنون بالثورة؟ هل تعتقد أن الدستور القديم أصلح أم الجديد؟ ما دور الأدب في بناء المرحلة القادمة؟ الويل لي لو لم أجب إجابة مقنعة.
210,12,قصة الكونت دي مونت كريستو نجحت جدًا لأنها تداعب لذة الانتقام الدموية لدى الناس.. لابد أن تنجح.. لابد أن تقدم في مليون فيلم.
211,12,بعد ما أنهيت كلامي ظل المذيع يضع الميكروفون قربي بإصرار مربك.. يشعرك أن الكلام لم ينته أو أنك غير مقنع.. تهز رأسك في عصبية وتردد (وكده يعني) وتبلع ريقك.. لكنه مصر.
212,12,العبرية هي اللغة الوحيدة في العالم التي تسمعها من أهلها فتشعر أنهم يعانون ويتعذبون.
213,12,عاودت قراءة خواطري لأعرف ما أعتقده وما أفكر فيه!!! قمت بجولة في فكري لأتذكر من أنا.
214,12,هذا النوع من المديح المبالغ فيه الذي لا أستحقه، لا يسعدني بل هو يجلب على رأسي شتائم لم أطلبها ولا أستحقها.. عندما أتلقى الكثير من الإطراء أعرف أن السباب قادم.
215,12,هم يوصلونك للحظة تسكت فيها من الاشمئزاز فيحسبون أنهم انتصروا وأفحموك.. نفس براعة وقوة منطق العربجي الذي يشتمك بفاحش القول وهو على ظهر عربته فتصمت.
216,13,كانوا يتكلمون عن الخلافة الإسلامية.. أذّن الظهر والعصر والمغرب فلم يصلوا لأنهم مشغولون.
217,13,يقولون إن لحوم العلماء مسمومة ويتهمون كل من يتكلم عن الدين أنه رويبضة.. إلخ.. إلى أن تأتي فتوى معتدلة من القرضاوي مثلًا.. عندها يرفضونها وينهالون عليه بالشتائم! مش لحوم العلماء مسمومة يا جماعة؟
218,13,يستعمل المصحف كمانع للحوادث في تابلوه السيارة.. لم يفكر في أن يفتحه مرة واحدة.
219,13,أتباع كل دين يصيرون عقلانيين نقديين جدًا كأنهم فولتير عندما يتعلق الأمر بالأديان الأخرى.
220,13,هذا الكلام يقنع الناس ويرضي فيهم نزعة التعصب الفطرية.. لو صار كل المصريين مسلمين لسمعت عن مذابح السنة والشيعة.. ولو صارت كل مصر سُنة لسمعت عن السُنة طوال القامة وقصارها.. أو السنة الأهلاوية والزمالكاوية.. ولقال قائل: السُنة الزمالكاوية يحاولون هدم دينكم فتنبهوا!
221,13,التكافؤ مهم جدا في الزواج.. اقتصادي وأخلاقي واجتماعي.. لكن التكافؤ الديني أهم شيء.. لا يمكن أن يعيش رجل متشكك مع زوجة شديدة الإيمان ترى أن الدين فيه كل إجابة.. والعكس صحيح.. هذا أفشل زواج ممكن.. يجب أن يكونا متشككين معًا، أو شديدي التدين معًا يصليان الفجر جماعة ويتباريان في حفظ القرآن.
222,13,قال لي: تعال نتحرر من سلطة الدين ونتكلم بشكل عقلاني فولتيري متحضر.. تعال نشتم دينك. لكن لو شتمت ديني سأهشم رقبتك وأبلغ أمن الدولة عنك!
223,13,مهما قالوا فالصدام بين الفن والدين محتم في النهاية ولابد للمرء أن يختار معسكرًا.. محمد قطب العبقري حاول أن يؤخر لحظة الصدام قدر استطاعته.. حاولت طيلة حياتي أن أفعل مثله.
224,13,قال لي: أنا غير متعصب.. أريد أن أرى الكلب الكافر ابن الزنا الذي سيزعم أني متعصب.
225,14,خبر عن إلغاء التعريفة الجمركية على رؤس الأموال المصادرة.. لا أفهم حرفًا.. كل ما أعرفه أنه خبر ضدنا وخلاص! ستكون الحياة أسوأ كالعادة.
226,14,ديناصورات تسقط في برك القار.. تزأر وتتلوى لكنها تُدفن أكثر وتموت.. وترتج الأرض بينما تحوم حولها طيور التيروداكتيل.. وسراخس تنطمر وغابات تتحجر برواسب الكالسيوم ثم تدفن.. لقد انتهى العصر الباليوزي.. يتزايد الضغط والحرارة بينما تتكون طبقات الصخور النارية والرسوبية.. تمر ملايين السنين.. يظهر الإنسان حاملاً مدية حجرية تتحول إلى رمح مع عصر الحديد.. في النهاية يتحول هذا كله إلى بترول، والبترول ينتظر قدوم الكولونيل دريك ليدق بريمة إلى قلب الأرض ليخرج.. كل هذا الجهد من الطبيعة كي تذهب أنت إلى الخليج لتعمل وتعود بثمن الشقة والغسالة الفول أوتوماتيك!
227,14,من الغريب أن الدول الطاغية تنشئ الصروح من دم الشعب.. لكن هذه الصروح تصير مصدر الدخل الوحيد بعد ذلك! مثل تاج محل والهرم!
228,14,عداد الكهرباء في شقتي نشيط جدًا.. كأن مهمة الكهرباء في بيتي هي تشغيل العداد فقط، وكأن هذا هدف في حد ذاته.
229,14,عندما اشتريت مولد الكهرباء عرفت قبل الشراء أن الكهرباء لن تنقطع عن مصر مرة أخرى! هكذا تسير الأمور معي دومًا.. لقد انتهى عصر انقطاع الكهرباء للأبد.. ومعنى هذا أنني ضحيت بمالي من أجل مصر!
230,15,أروع صورة للحب هي صورة الحب الذي لم يكتمل مثل ذراعي تمثال أفروديت المبتورتين في تمثال (فينوس ميلو).. لم يستطع أحد أن يصل لوضع مناسب لهما.. واكتشف النحاتون أنه مهما جربت يظل عدم وجودهما أفضل حل ممكن.. هكذا الحب الذي لم يكتمل يبقى في أروع صورة ممكنة له.
231,15,كان خطابها لي متقطع الأنفاس من الفرحة.. لا أعرف كيف أعبر لكنه كان كذلك.. فرحة لا يمكن إلا أن تجعلك تتمنى لها الخير.
232,15,هي تلك اللعبة الخبيثة.. الرد بصوت خفيض مكتوم، فإذا كررت سؤالك ردت بعصبية أنها قد أجابت.. تحكي لها متحمساً قصة ما فيكون ردها: إمم.. هي قد أجابت ولا أحد يتهمها بأنها لم تجب لكنها تعرف كما تعرف أنت أن هذه ليست إجابة.. إنها طريقة استفزاز لا يمكن إدانتها.
233,15,لم تفتح فمها ولم تقل حرفًا، لكن عينيها كاذبتان آثمتان ولا أعرف كيف!!
234,15,كل زوجة جديدة في العالم لديها هشاشة معينة لأنها لم تتوقع أن يكون الأمر مخيبًا للأمل هكذا.. كانت تتوقع أن تسقط في نهر غامر من الرومانسية والحب، وهذا ببساطة مستحيل.. الذئاب يعرفون هذا جيدًا ويشعرون به بحاسة لا تخيب.. حمايتها في هذه اللحظة تنبع فقط من تربيتها.. لا شيء يحميها سوى هذا.
235,15,الهيبة الأنثوية وجلال الأنثى.. هذه أشياء تفسدها الأنثى بنظام الضرب و(المعلمة) و(كفك).. تتظاهر أانها ظريفة خالية من العقد فتفسد كل شيء.
236,15,طريقة ضحك البنات المفتعلة حين تتحسس شعرها وتفرقه وهي تتمايل للخلف.. هذا ليس ضحكًا بل هو تمثيل.
237,15,فتاة جميلة رشيقة.. يحزنك أن هذا سيبقى 5 سنوات فقط ثم تصير مدام عواطف المنهكة البدينة التي تبحث عن مواصلة للبيت لتلحق بموعد الطبخ، وتكره نفسها والعالم وتلبس نفس الثياب.. خمس سنوات من السحر حتى توقع بذكر ثم ينهار كل شيء.. شيء قاس فعلاً.
238,15,أثار منظرها غيظي.. الوجه الغبي القبيح الشهواني.. الثياب المبهرجة العجيبة.. تنورة تحتها سروال جينز.. إيشارب مبهرج ضخم منفوش كبائعات الكرشة في المدبح.. فوقه كاسكيت! وأشياء تلمع ومئة بلوزة و.. و.. ثياب خالية من العملية والجمال لكنها فكرتها الخاصة عن الأناقة.. هكذا تريد القول إنها جمعت بين الفتنة والتدين وبين الدنيا والدين.
239,15,يبدو أن فيه جاذبية خاصة لا يفهمها الرجال من أمثاله.. صفارة كلاب ذات تردد خاص لا تسمعها سوى النساء. لهذا قد يرى الرجال في ممثلة معينة قمة الفتنة، بينما ترى النساء أنها قبيحة و(بيئة).. لأنهن لا يسمعن تردد الصفارة.
240,15,نظرة غامضة نصف ناعسة نصف خبيثة في عينها.. لا أعرف هل هي تدل على دفء أم لؤم أم هي –ببساطة– تريد أن تنام!
241,15,الشمس تعتقد أن الأرض مضيئة ولا تعرف أن هذا نورها هي.
242,15,الكيلوجرام العياري هو وزن سبيكة من البلاتين والإيريديوم محفوظة في.... إلخ.. لا أذكر التعريف جيدًا. المهم ان كيلوجرامات العالم تصنع لتزن مثل هذه السبيكة. أعتقد أن جمالك من هذا الطراز.. عينة يُقاس عليها جمال كل نساء العالم.. هذه حسناء وهذه قبيحة.
243,15,هي من طراز الفتيات اللاتي يحملن في مظهرهن ومشيتهن وشكل شعرهن شيئًا من صفات الدب. ستفهمني أكثر لو ذكرت أسماء لكن هذا مستحيل!
244,15,جعلتني أكفر بالحب وأسخر من العشاق.. في الواقع أسخر من أي عاطفة وأعتبرها نوعا من التمثيل أو خداع النفس.. صرت عندما أسمع كلمة حب تموع نفسي وأتفادى القيء بصعوبة.
245,15,لا أطيق دموع الأنثى.. إنها غزيرة وافرة وهذا أدعى لأن تكون رخيصة.. لو صار الذهب متوفرًا كالحديد لما ساوى شيئًا، لكن دموع الأنثى هي الشئ الوحيد في العالم الذي تزداد قيمته كلما كثُر.. إنها تشلنا معشر الرجال وتحيرنا وتربكنا.
246,15,هناك شئ واحد يجمع هؤلاء الذين يجذبون النساء: الحيوية.. قد يكون الرجل قبيحًا كالأبالسة أو وسيمًا كالملائكة، وقد يكون بدينًا كخنزير أو نحيلًا كثعبان المرجان، لكنه في جميع الأحوال يجب أن يتمتع بالحيوية كي تنظر له النساء أصلًا.
247,15,تعقدت علاقتهما، فصارت عليها طبقات لزجة مقرفة من الخلافات يستحيل أن تزيلها.. لا يمكن أن تنقذ هذا الزواج.. لا أحد يستطيع.
248,15,حاسة الأنثى لا تخطئ أبدًا.. لماذا تكرهين شيرين لهذا الحد ولا تطيقينها كأنها الشيطان نفسه؟ هل تعرفين الحقيقة؟
249,15,في ألبوم الصور وجدت كمًا مذهلاً من صورها حتى شعرت بالغثيان وبأنني أكرهها بجنون.. لا يمكن أن يلتقط إنسان كل هذا الكم من الصور لنفسه ويكون مستقرًا نفسيًا.
250,15,ببساطة هي محتشمة لأنها لو كشفت جمالها لهوت النجوم ولاشتعل البحر ولسقطت أنا بنوبة قلبية.. هذا ليس جمالاً وراء الثياب بل هو بعد آخر يحتاج إلى مكوك فضاء بسرعة الضوء لبلوغه.. ببساطة لا يمكن أن يتسع العالم لهذا السحر.
251,15,هي كتلة من الحقد الأسود والتعصب والغرور ونظرة التعاسة الأبدية على وجهها والنحول.. لقد سلطها الله عليها.. سوف تلتهم نفسها حتى أصابع القدمين، ولن تكف عن مقابلة الناس الذين تكتشف أنهم أوغاد فيما بعد، مع الشعور بأنها لا تنال ما تستحق.
252,15,القبح منفر.. العري منفر.. فما أبشع القبيحة العارية! الحشمة جميلة.. الجمال جميل.. ما أروع الجميلة المحتشمة!
253,15,قالت لنفسها: غريب أمر هؤلاء الرجال.. عرضت جسدي في ثوب شفاف، فإذا بهذا الخسيس لم يهتم بعقلي وروحي بل حاول الوصول لهذا الجسد.
254,16,هو طفل مدلل لم يعد يستمتع بشيء.. يرى الفيلم فقط كي يكون قد شاهده، ويبتاع اللعبة فقط كي يحرم البائع منها!
255,16,عسير جدا أن تشتم مراهقا أربعًا وعشرين ساعة لأنك تخشى أن يفسد.. لا تضحك في وجهه أبدًا.. فقط تخشى أن يموت حتى لا تفقد لعبتك السادية هذه.. وفي النهاية تريد أن يشعر نحوك بالامتنان.
256,16,شيء يغيظ.. طالب الثانوي المتورط الذي لا يكف عن الشكوى والصراخ.. بعد يومين من دخوله كلية الطب يبدأ في الشكوى ويكتب (لو أني أعرف أن الطب عسير جدًا ما أبحرت).. وبعد أسبوع يبدي ندمه على دخول هذه الكلية الشاقة اللعينة.. ألن يظهر أبدًا شخص مجدد؟
257,16,هي تؤمن أن أفضل طريقة للتربية هي أن تفقد الطفل ثقته بنفسه وتلومه دومًا.. تشعره بأنه سيئ جدا وحيوان.. هكذا يصير أفضل.
258,16,عندما يريدون الكلام عما يروق لهم أمام الأطفال يقولون لك: دول عيال.. عندما تتكلم أنت يطالبونك بالصمت والحذر لأن الأطفال يفهمون كل شيء.
259,16,أحب طريقة الصغار في دس الحلوى في فمهم.. يفتحون الفم عن آخره ويدسون الشيء في الحلق بإصبعهم.. أحب محاولتهم للوقوف مع محاولة الإمساك بالأرض بكفوف أقدامهم.. لم يفهموا جسدهم بعد ولم ينالوا فترة كافية لمعرفته.
260,16,أطفالك هم المخرج لعدوانيتك.. لا تستطيع أن تخرج عصبيتك مع مديرك أو زوجتك لأنهما سيخربان بيتك.. اضرب الأطفال لأنهم قليلو الأدب.. هؤلاء ملكك ولن يعترضوا لأنهم مهذبون حسنو التربية!
261,16,هذه هي السن التي يبدأ فيها الصبي يؤمن أن أباه ليس خارقًا كما كان يحسب وليس أفضل أب.. ربما هو أقل من أي إنسان آخر أيضًا.
262,16,هي سطوة أولياء الأمور وقبليتهم وغباؤهم.. هذا ما أدى لخراب التعليم في مصر؛ من الدروس الخصوصية التي صنعها أولياء الأمور، وحتى أجهزة الموبايل في اللجنة التي يستعملها الطلبة في الغش، وحتى مجموع 102% في الثانوية العامة.
263,16,ثلاث سنوات في هذه السن الصغيرة فترة طويلة جدًا.. طفل في ابتدائي ثم بعد ثلاث سنين هو مراهق خشن الصوت في إعدادي.. 3 سنين أخرى وفجأة هو طالب ثانوي وقح.. 3 سنين ويصير طالب جامعة يؤمن بحدوث تغيير.. في سني هذه لا تحدث السنون فارقًا من أي نوع.. لا توجد تغيرات درامية بين سن الخامسة والثلاثين وسن الخمسين.. ثم تسرع عملية التحلل.. الحياة تجري بسرعة جدا في بداية العمر وآخره.. مثل المنحدر.
264,16,هو من هؤلاء الذين يناولون السماعة لطفل (كوكي عاوز يكلمك) وأنت متعجل نافد الصبر، فيضعك لمدة ربع ساعة تحت رحمة وغد صغير لا يقول سوى (القطة..العاوو.. تيتة.. هي هي).. هل تضع السماعة؟ لا تجد ما تقول سوى أن تصدر أصواتا مضحكة من حلقك وأنت تغلي، وتتمنى أن تصيبه صاعقة تقتله فورًا.
265,17,عندما تسمع أغاني أجنبية أو موسيقا كلاسيكية يقولون لك لائمين إن النبي عربي، فإذا جرؤت على تصحيح إعراب كلمة أو همزة قالوا لك في سخرية: ما تخليكش حنبلي كده!
266,17,الممثلون في التلفزيون لا يقلدون الصعايدة عندما يتكلمون، لكنهم يقلدون الصعايدة الذين رأوهم في التمثيليات السابقة! هكذا يدخلون في قالب (ماخابرش – دلوكيت) وينظر أحدهم للكاميرا في ذكاء ويبرم شاربه ويضيق عينه مرددًا (مليح جوي جوي يا بوي)، بينما يكفيك أن تمشي خطوات إلى ميدان رمسيس لتعرف كيف يتكلم الصعيدي الحقيقي بلهجته الموسيقية المحببة للنفس.
267,17,انطباعي الأول عن مقدم هذا البرنامج الناجح الظريف هو عيناه.. عينان فيهما قسوة وبرود شديدان، وأعتقد أنه لا يرحم ويمكن أن يتخلى عن أقرب صديق له أو عن أبيه وأمه.. هاتان عينا جنرال نازي ممن تراهم في الأفلام.. هذا الانطباع يضايقني جدًا مع أنني أحب حلقاته جدًا لكن أشعر أنه ظرف الأفعى.
268,17,فيلم ماتركس جزء ثان لم يكن له لزوم.. كأنه فتاة جميلة مهذبة أثنى الناس عليها.. لكنها عادت وراحت ترقص وتضحك بصوت عال لتظهر للناس أنها لطيفة مغرية كذلك.
269,17,أفلام الرعب اليابانية كلها تقريبًا تدور حول أختين وشبح طفل وجو مرعب لكن لا يحدث شيء على الإطلاق. الأفلام الصينية تقنعك أن الشعب الصيني كله كان يطير في زمن ما.
